,mean,sd,n,ci_low,ci_high,ci_halfwidth
vmt_miles_ridehail,608.6883848325779,18.554605646604706,30,602.048704474516,615.3280651906398,6.639680358061976
cruising_vmt_miles,845.5679249847556,36.59950439652812,30,832.4709605391167,858.6648894303944,13.096964445638795
cruising_vmt_share,0.24383885490750445,0.006586867336615055,30,0.24148177470277987,0.24619593511222904,0.002357080204724586
mean_speed_kph,23.477512459134264,0.5043635316554685,30,23.29702828726676,23.65799663100177,0.18048417186750507
congestion_index,1.6031745610933628,0.05695287518512127,30,1.5827942364503003,1.6235548857364253,0.02038032464306253
illegal_parking_events,464.43333333333334,30.489889034454247,30,453.5226666666667,475.344,10.910666666666666
illegal_parking_rate,0.07711351098343126,0.004451467496449352,30,0.07552057379771777,0.07870644816914475,0.0015929371857134873
citations,47.0,6.028667148400789,30,44.84266916727196,49.15733083272804,2.157330832728045
meter_revenue_usd,7727.950872823221,150.65954308238406,30,7674.038047726788,7781.863697919654,53.91282509643353
fine_revenue_usd,4140.633333333333,520.9195770434496,30,3954.224656711405,4327.042009955262,186.40867662192846
revenue_usd,11868.584206156553,585.9106379562716,30,11658.918777070503,12078.249635242602,209.66542908604978
time_cost_usd,5149.276611291503,144.34036541071143,30,5097.625074883433,5200.928147699574,51.65153640807025
vmt_cost_usd,2149.184421312866,40.06499712541953,30,2134.8473462207776,2163.5214964049546,14.337075092088316
illegal_cost_usd,6502.066666666667,426.85844648235945,30,6349.317333333333,6654.816,152.74933333333334
system_social_cost_usd,13800.527699271037,574.2779815481423,30,13595.024962819702,14006.030435722372,205.50273645133603
social_cost_per_trip_usd,2.291782648058612,0.07513295007340637,30,2.2648966671680975,2.3186686289491267,0.026885980890514537
