,baseline,loading_zones,ridehail_zones,dynamic_pricing,mixed_curb,demand_shock
illegal_parking_rate,0.0015929371857134873,0.0009160817898700265,0.0011620251817871785,0.002094761289925991,0.0009963098618970146,0.001907923653790342
citations,2.157330832728045,2.1432643702818233,1.4420872272096534,2.502889805666711,1.8857897478722478,2.6099518352597006
meter_revenue_usd,53.91282509643353,21.42066706370251,24.638956122361588,103.67045695795493,23.567276166757626,53.74208942813024
fine_revenue_usd,186.40867662192846,158.81935212405145,105.21200494414987,223.0724186513724,146.12808532820043,236.14368169592046
revenue_usd,209.66542908604978,157.78483117802782,107.82783662458266,269.06446593978194,156.61459662834287,241.85007156754182
time_cost_usd,51.65153640807025,40.028970945503936,43.55945081258916,58.21082143069607,50.98901355025563,71.46983635721833
vmt_cost_usd,14.337075092088316,9.196829211415833,12.703689035456781,16.147015604265228,12.233892517782053,17.685567236593286
illegal_cost_usd,152.74933333333334,82.51671617166299,98.70511793040508,194.042292304274,90.97346708503125,212.45463498892147
system_social_cost_usd,205.50273645133603,114.94160636543877,134.674390900701,255.26497448666694,139.67703464668998,279.2606997216312
social_cost_per_trip_usd,0.026885980890514537,0.015265614559137391,0.020490918650128774,0.03555739271885513,0.01823792688463034,0.0321831247075625
